task,model,icil,temperature,assistant_format,num_shots,accuracy
task1294_wiki_qa_answer_verification,ada,True,0.0,False,0,0.29
task1321_country_continent,ada,True,0.0,False,0,0.19
calling,ada,True,0.0,False,0,0.0
calling,ada,False,0.0,True,0,0.0
calling,ada,False,0.0,False,0,0.0
calling,curie,True,0.0,False,0,0.775
calling,curie,False,0.0,True,0,0.725
calling,curie,False,0.0,False,0,0.5
calling,llama-13b,True,0.0,False,0,0.975
calling,llama-7b,True,0.0,False,0,0.92
calling,llama-7b,False,0.0,False,0,0.04
calling,davinci,True,0.0,False,0,0.86
calling,davinci,False,0.0,True,0,0.55
calling,davinci,False,0.0,False,0,0.92
calling,babbage,True,0.0,False,0,0.01
calling,babbage,False,0.0,True,0,0.0
calling,babbage,False,0.0,False,0,0.0
calling,llama-30b,True,0.0,False,0,0.9
calling,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.0
calling,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.125
calling,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.81
task513_argument_stance_classification,ada,True,0.0,False,0,0.40119760479041916
839_cdt_classification,ada,True,0.0,False,0,0.515
839_cdt_classification,curie,True,0.0,False,0,0.51
839_cdt_classification,curie,False,0.0,False,0,0.515
839_cdt_classification,davinci,False,0.0,False,0,0.6933333333333334
839_cdt_classification,babbage,True,0.0,False,0,0.515
task839_cdt_classification,ada,True,0.0,False,0,0.515
german,ada,True,0.0,False,0,0.02
german,ada,False,0.0,True,0,0.0
german,ada,False,0.0,False,0,0.0
german,curie,True,0.0,False,0,0.0
german,curie,False,0.0,True,0,0.0
german,curie,False,0.0,False,0,0.02
german,llama-13b,True,0.0,False,0,0.94
german,llama-7b,True,0.0,False,0,0.72
german,llama-7b,False,0.0,False,0,0.1
german,davinci,True,0.0,False,0,0.84
german,davinci,True,1.0,False,0,0.74
german,davinci,False,0.0,True,0,0.0
german,davinci,False,0.0,False,0,0.74
german,babbage,True,0.0,False,0,0.2
german,babbage,False,0.0,True,0,0.04
german,babbage,False,0.0,False,0,0.04
german,llama-30b,True,0.0,False,0,0.74
german,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.0
german,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.0
german,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.26
task566_circa_classification,ada,True,0.0,False,0,0.735
task159_check_frequency_of_words_in_sentence_pair,ada,True,0.0,False,0,0.22
1321_country_continent,ada,True,0.0,False,0,0.19
1321_country_continent,curie,True,0.0,False,0,0.64
1321_country_continent,curie,False,0.0,False,0,0.62
1321_country_continent,davinci,False,0.0,False,0,0.9333333333333333
1321_country_continent,babbage,True,0.0,False,0,0.605
566_circa_classification,ada,True,0.0,False,0,0.735
566_circa_classification,curie,True,0.0,False,0,0.735
566_circa_classification,curie,False,0.0,False,0,0.78
566_circa_classification,davinci,False,0.0,False,0,0.6933333333333334
566_circa_classification,babbage,True,0.0,False,0,0.735
task1364_hans_answer_generation,ada,True,0.0,False,0,0.63
801_pawsx_german_english_translation,ada,True,0.0,False,0,0.095
801_pawsx_german_english_translation,curie,True,0.0,False,0,0.02
801_pawsx_german_english_translation,curie,False,0.0,False,0,0.48
801_pawsx_german_english_translation,davinci,False,0.0,False,0,0.9333333333333333
801_pawsx_german_english_translation,babbage,True,0.0,False,0,0.035
833_poem_sentiment_classification,ada,True,0.0,False,0,0.36
